0,Business,"Business"
1,Commercial For Sale,"Commercial-For Sale"
2,Commercial Lease Unit,"Commercial-Lease Unit"
3,Commercial Lease Land,"Commercial Lease Land"
4,Condo,"Condo"
5,Co Op,"Co Op"
6,PUD,"PUD"
7,Time Interval,"Time Interval"
8,Fractional,"Fractional"
9,Partial Interest,"Partial Interest"
10,Multi Dwelling,"Multi Dwelling"
11,Single Family,"Single Family"
12,Single Familyw Att Ohana,"Single Family w/Att Ohana"
13,SFw Det Ohanaor Cottage,"SF w/Det Ohana or Cottage"
14,Vacant Land,"Vacant Land"
